Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10,Lead_11,Lead_12
-0.329318,-0.386591,-0.405682,-0.443864,-0.386591,-0.315000,,,,,,
-0.329318,-0.386591,-0.410455,-0.443864,-0.386591,-0.319773,,,,,,
-0.319773,-0.400909,-0.429545,-0.434318,-0.377045,-0.334091,,,,,,
-0.319773,-0.405682,-0.424773,-0.434318,-0.377045,-0.334091,,,,,,
-0.329318,-0.410455,-0.429545,-0.424773,-0.381818,-0.334091,,,,,,
-0.348409,-0.429545,-0.434318,-0.410455,-0.386591,-0.348409,,,,,,
-0.357955,-0.439091,-0.424773,-0.405682,-0.386591,-0.343636,,,,,,
-0.357955,-0.439091,-0.424773,-0.396136,-0.391364,-0.343636,,,,,,
-0.372273,-0.458182,-0.429545,-0.381818,-0.396136,-0.357955,,,,,,
-0.381818,-0.486818,-0.448636,-0.362727,-0.396136,-0.381818,,,,,,
-0.386591,-0.501136,-0.458182,-0.353182,-0.386591,-0.391364,,,,,,
-0.372273,-0.486818,-0.458182,-0.362727,-0.386591,-0.386591,,,,,,
-0.372273,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.372273,-0.458182,-0.424773,-0.386591,-0.396136,-0.357955,,,,,,
-0.377045,-0.462955,-0.429545,-0.377045,-0.396136,-0.362727,,,,,,
-0.381818,-0.477273,-0.439091,-0.367500,-0.396136,-0.372273,,,,,,
-0.386591,-0.482045,-0.443864,-0.367500,-0.396136,-0.372273,,,,,,
-0.391364,-0.486818,-0.434318,-0.357955,-0.400909,-0.372273,,,,,,
-0.400909,-0.482045,-0.424773,-0.357955,-0.410455,-0.372273,,,,,,
-0.386591,-0.462955,-0.424773,-0.367500,-0.405682,-0.357955,,,,,,
-0.313264,-0.385795,-0.415227,-0.434318,-0.372273,-0.324545,,,,,,
-0.186136,-0.252955,-0.405682,-0.572727,-0.324545,-0.252955,,,,,,
-0.023864,-0.090682,-0.410455,-0.744545,-0.238636,-0.171818,,,,,,
0.114545,0.046993,-0.420000,-0.882955,-0.167045,-0.095455,,,,,,
0.176591,0.124091,-0.405682,-0.935455,-0.143182,-0.062045,,,,,,
0.095455,0.061449,-0.381818,-0.866727,-0.195682,-0.076364,,,,,,
-0.081614,-0.105000,-0.381818,-0.706364,-0.281591,-0.162273,,,,,,
-0.229091,-0.272045,-0.391364,-0.539318,-0.348409,-0.252955,,,,,,
-0.329318,-0.376091,-0.391364,-0.434318,-0.402818,-0.305455,,,,,,
-0.381818,-0.420000,-0.391364,-0.396136,-0.424773,-0.329318,,,,,,
-0.386591,-0.443864,-0.405682,-0.386591,-0.415227,-0.338864,,,,,,
-0.386591,-0.462955,-0.424773,-0.377045,-0.405682,-0.357955,,,,,,
-0.386591,-0.472500,-0.424773,-0.367500,-0.405682,-0.362727,,,,,,
-0.396136,-0.462955,-0.424773,-0.367500,-0.410455,-0.353182,,,,,,
-0.400909,-0.467727,-0.420000,-0.367500,-0.420000,-0.357955,,,,,,
-0.405682,-0.482045,-0.424773,-0.357955,-0.415227,-0.362727,,,,,,
-0.396136,-0.482045,-0.424773,-0.357955,-0.415227,-0.367500,,,,,,
-0.381818,-0.467727,-0.429545,-0.372273,-0.396136,-0.362727,,,,,,
-0.381818,-0.462955,-0.424773,-0.377045,-0.400909,-0.362727,,,,,,
-0.377045,-0.453409,-0.424773,-0.381818,-0.405682,-0.353182,,,,,,
-0.372273,-0.458182,-0.434318,-0.377045,-0.396136,-0.362727,,,,,,
-0.386591,-0.491591,-0.448636,-0.353182,-0.396136,-0.381818,,,,,,
-0.396136,-0.510682,-0.453409,-0.348409,-0.396136,-0.400909,,,,,,
-0.396136,-0.510682,-0.453409,-0.348409,-0.396136,-0.396136,,,,,,
-0.391364,-0.491591,-0.443864,-0.357955,-0.396136,-0.381818,,,,,,
-0.377045,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.367500,-0.462955,-0.434318,-0.386591,-0.391364,-0.362727,,,,,,
-0.367500,-0.443864,-0.424773,-0.391364,-0.396136,-0.343636,,,,,,
-0.367500,-0.453409,-0.424773,-0.391364,-0.396136,-0.348409,,,,,,
-0.381818,-0.472500,-0.434318,-0.372273,-0.396136,-0.362727,,,,,,
-0.391364,-0.501136,-0.453409,-0.348409,-0.386591,-0.386591,,,,,,
-0.381818,-0.510682,-0.467727,-0.353182,-0.386591,-0.400909,,,,,,
-0.362727,-0.491591,-0.472500,-0.372273,-0.377045,-0.391364,,,,,,
-0.357955,-0.472500,-0.458182,-0.386591,-0.381818,-0.377045,,,,,,
-0.357955,-0.458182,-0.439091,-0.391364,-0.386591,-0.362727,,,,,,
-0.372273,-0.453409,-0.424773,-0.391364,-0.391364,-0.353182,,,,,,
-0.377045,-0.434318,-0.415227,-0.396136,-0.405682,-0.338864,,,,,,
-0.377045,-0.439091,-0.415227,-0.391364,-0.405682,-0.334091,,,,,,
-0.362727,-0.429545,-0.420000,-0.400909,-0.396136,-0.334091,,,,,,
-0.348409,-0.420000,-0.424773,-0.410455,-0.386591,-0.334091,,,,,,
-0.353182,-0.429545,-0.424773,-0.410455,-0.391364,-0.338864,,,,,,
-0.348409,-0.415227,-0.415227,-0.415227,-0.396136,-0.334091,,,,,,
-0.338864,-0.415227,-0.420000,-0.424773,-0.386591,-0.334091,,,,,,
-0.338864,-0.420000,-0.424773,-0.420000,-0.386591,-0.338864,,,,,,
-0.338864,-0.415227,-0.424773,-0.420000,-0.386591,-0.334091,,,,,,
-0.338864,-0.405682,-0.415227,-0.429545,-0.386591,-0.329318,,,,,,
-0.338864,-0.396136,-0.405682,-0.424773,-0.396136,-0.324545,,,,,,
-0.338864,-0.396136,-0.405682,-0.434318,-0.386591,-0.324545,,,,,,
-0.338864,-0.381818,-0.396136,-0.439091,-0.391364,-0.315000,,,,,,
-0.338864,-0.367500,-0.386591,-0.448636,-0.400909,-0.295909,,,,,,
-0.338864,-0.357955,-0.377045,-0.453409,-0.405682,-0.286364,,,,,,
-0.329318,-0.357955,-0.377045,-0.458182,-0.396136,-0.291136,,,,,,
-0.315000,-0.348409,-0.381818,-0.467727,-0.386591,-0.286364,,,,,,
-0.305455,-0.338864,-0.386591,-0.477273,-0.386591,-0.286364,,,,,,
-0.324545,-0.362727,-0.386591,-0.453409,-0.391364,-0.295909,,,,,,
-0.338864,-0.377045,-0.377045,-0.439091,-0.405682,-0.300682,,,,,,
-0.338864,-0.367500,-0.367500,-0.439091,-0.415227,-0.295909,,,,,,
-0.338864,-0.377045,-0.381818,-0.434318,-0.405682,-0.300682,,,,,,
-0.338864,-0.381818,-0.386591,-0.434318,-0.405682,-0.305455,,,,,,
-0.338864,-0.381818,-0.391364,-0.439091,-0.396136,-0.310227,,,,,,
-0.338864,-0.391364,-0.400909,-0.424773,-0.396136,-0.319773,,,,,,
-0.362727,-0.420000,-0.415227,-0.405682,-0.400909,-0.334091,,,,,,
-0.372273,-0.424773,-0.405682,-0.400909,-0.410455,-0.334091,,,,,,
-0.367500,-0.415227,-0.400909,-0.405682,-0.415227,-0.334091,,,,,,
-0.367500,-0.420000,-0.410455,-0.405682,-0.405682,-0.334091,,,,,,
-0.357955,-0.424773,-0.415227,-0.405682,-0.405682,-0.334091,,,,,,
-0.357955,-0.424773,-0.415227,-0.405682,-0.396136,-0.334091,,,,,,
-0.362727,-0.446250,-0.429545,-0.396136,-0.396136,-0.353182,,,,,,
-0.367500,-0.462955,-0.439091,-0.386591,-0.386591,-0.367500,,,,,,
-0.362727,-0.453409,-0.434318,-0.391364,-0.386591,-0.357955,,,,,,
-0.367500,-0.443864,-0.424773,-0.396136,-0.391364,-0.353182,,,,,,
-0.367500,-0.453409,-0.429545,-0.396136,-0.386591,-0.353182,,,,,,
-0.362727,-0.453409,-0.434318,-0.396136,-0.391364,-0.353182,,,,,,
-0.372273,-0.453409,-0.424773,-0.386591,-0.396136,-0.353182,,,,,,
-0.362727,-0.439091,-0.424773,-0.396136,-0.391364,-0.343636,,,,,,
-0.338864,-0.415227,-0.424773,-0.415227,-0.386591,-0.334091,,,,,,
-0.338864,-0.415227,-0.424773,-0.424773,-0.386591,-0.334091,,,,,,
-0.338864,-0.420000,-0.429545,-0.410455,-0.386591,-0.338864,,,,,,
-0.367500,-0.448636,-0.424773,-0.391364,-0.396136,-0.348409,,,,,,
-0.381818,-0.462955,-0.424773,-0.377045,-0.405682,-0.353182,,,,,,
-0.386591,-0.467727,-0.424773,-0.377045,-0.405682,-0.357955,,,,,,
-0.391364,-0.477273,-0.424773,-0.367500,-0.405682,-0.367500,,,,,,
-0.386591,-0.472500,-0.424773,-0.372273,-0.405682,-0.362727,,,,,,
-0.377045,-0.458182,-0.424773,-0.381818,-0.405682,-0.353182,,,,,,
-0.377045,-0.458182,-0.424773,-0.386591,-0.396136,-0.357955,,,,,,
-0.377045,-0.453409,-0.424773,-0.391364,-0.396136,-0.353182,,,,,,
-0.357955,-0.434318,-0.424773,-0.400909,-0.396136,-0.338864,,,,,,
-0.367500,-0.443864,-0.424773,-0.391364,-0.400909,-0.343636,,,,,,
-0.377045,-0.458182,-0.424773,-0.386591,-0.396136,-0.357955,,,,,,
-0.377045,-0.462955,-0.424773,-0.386591,-0.396136,-0.357955,,,,,,
-0.377045,-0.453409,-0.424773,-0.386591,-0.405682,-0.353182,,,,,,
-0.377045,-0.443864,-0.424773,-0.386591,-0.405682,-0.343636,,,,,,
-0.377045,-0.448636,-0.424773,-0.386591,-0.396136,-0.348409,,,,,,
-0.381818,-0.458182,-0.424773,-0.377045,-0.400909,-0.357955,,,,,,
-0.381818,-0.467727,-0.429545,-0.372273,-0.400909,-0.362727,,,,,,
-0.372273,-0.453409,-0.424773,-0.386591,-0.396136,-0.353182,,,,,,
-0.357955,-0.424773,-0.415227,-0.405682,-0.396136,-0.334091,,,,,,
-0.338864,-0.405682,-0.405682,-0.424773,-0.396136,-0.329318,,,,,,
-0.343636,-0.410455,-0.410455,-0.424773,-0.396136,-0.329318,,,,,,
-0.348409,-0.415227,-0.405682,-0.424773,-0.396136,-0.329318,,,,,,
-0.353182,-0.415227,-0.396136,-0.424773,-0.405682,-0.324545,,,,,,
-0.362727,-0.405682,-0.381818,-0.420000,-0.420000,-0.315000,,,,,,
-0.353182,-0.396136,-0.381818,-0.424773,-0.410455,-0.315000,,,,,,
-0.338864,-0.381818,-0.391364,-0.434318,-0.400909,-0.315000,,,,,,
-0.338864,-0.377045,-0.386591,-0.439091,-0.400909,-0.305455,,,,,,
-0.348409,-0.400909,-0.396136,-0.424773,-0.405682,-0.319773,,,,,,
-0.357955,-0.424773,-0.415227,-0.405682,-0.396136,-0.338864,,,,,,
-0.362727,-0.443864,-0.429545,-0.396136,-0.386591,-0.348409,,,,,,
-0.343636,-0.424773,-0.424773,-0.410455,-0.386591,-0.338864,,,,,,
-0.324545,-0.391364,-0.415227,-0.439091,-0.386591,-0.319773,,,,,,
-0.329318,-0.372273,-0.400909,-0.443864,-0.391364,-0.315000,,,,,,
-0.338864,-0.405682,-0.415227,-0.420000,-0.386591,-0.329318,,,,,,
-0.338864,-0.439091,-0.443864,-0.415227,-0.377045,-0.353182,,,,,,
-0.338864,-0.434318,-0.443864,-0.415227,-0.377045,-0.353182,,,,,,
-0.338864,-0.434318,-0.443864,-0.410455,-0.381818,-0.353182,,,,,,
-0.353182,-0.448636,-0.443864,-0.396136,-0.386591,-0.357955,,,,,,
-0.362727,-0.458182,-0.443864,-0.386591,-0.386591,-0.367500,,,,,,
-0.367500,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.377045,-0.477273,-0.443864,-0.367500,-0.391364,-0.372273,,,,,,
-0.381818,-0.482045,-0.443864,-0.367500,-0.391364,-0.372273,,,,,,
-0.377045,-0.482045,-0.443864,-0.372273,-0.386591,-0.372273,,,,,,
-0.377045,-0.482045,-0.448636,-0.372273,-0.386591,-0.377045,,,,,,
-0.377045,-0.477273,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.367500,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.372273,-0.462955,-0.434318,-0.381818,-0.391364,-0.362727,,,,,,
-0.381818,-0.467727,-0.424773,-0.377045,-0.400909,-0.357955,,,,,,
-0.386591,-0.472500,-0.429545,-0.377045,-0.405682,-0.362727,,,,,,
-0.381818,-0.472500,-0.434318,-0.372273,-0.396136,-0.367500,,,,,,
-0.391364,-0.477273,-0.424773,-0.367500,-0.400909,-0.362727,,,,,,
-0.377045,-0.448636,-0.424773,-0.381818,-0.400909,-0.348409,,,,,,
-0.300682,-0.367500,-0.415227,-0.458182,-0.367500,-0.310227,,,,,,
-0.157500,-0.239198,-0.420000,-0.606136,-0.305455,-0.248182,,,,,,
0.012727,-0.081136,-0.434318,-0.768409,-0.214773,-0.181364,,,,,,
0.138409,0.057273,-0.424773,-0.897273,-0.147955,-0.105000,,,,,,
0.105000,0.060136,-0.386591,-0.882955,-0.186136,-0.071591,,,,,,
-0.037679,-0.052500,-0.353182,-0.764091,-0.277686,-0.119318,,,,,,
-0.183750,-0.195682,-0.348409,-0.607500,-0.357955,-0.190909,,,,,,
-0.285000,-0.286364,-0.357955,-0.501136,-0.396136,-0.251591,,,,,,
-0.334091,-0.351273,-0.372273,-0.448636,-0.410455,-0.291136,,,,,,
-0.357955,-0.400909,-0.386591,-0.415227,-0.415227,-0.315000,,,,,,
-0.377045,-0.424773,-0.405682,-0.396136,-0.415227,-0.334091,,,,,,
-0.377045,-0.453409,-0.424773,-0.377045,-0.396136,-0.357955,,,,,,
-0.381818,-0.486818,-0.448636,-0.362727,-0.386591,-0.386591,,,,,,
-0.386591,-0.496364,-0.458182,-0.357955,-0.386591,-0.391364,,,,,,
-0.377045,-0.482045,-0.443864,-0.362727,-0.386591,-0.377045,,,,,,
-0.377045,-0.482045,-0.443864,-0.367500,-0.386591,-0.377045,,,,,,
-0.377045,-0.482045,-0.448636,-0.372273,-0.386591,-0.381818,,,,,,
-0.353182,-0.472500,-0.462955,-0.381818,-0.377045,-0.381818,,,,,,
-0.353182,-0.477273,-0.467727,-0.377045,-0.377045,-0.391364,,,,,,
-0.367500,-0.482045,-0.453409,-0.377045,-0.386591,-0.381818,,,,,,
-0.372273,-0.486818,-0.458182,-0.367500,-0.386591,-0.386591,,,,,,
